Date,Close,prev_close,daily_return_pct
2014-05-30,983.16,961.05,2.3
2014-06-02,985.0,983.16,0.19
2014-06-03,996.92,985.0,1.21
2014-06-04,1073.01,996.92,7.63
2014-06-05,1070.0,1073.01,-0.28
2014-06-06,1098.41,1070.0,2.66
2014-06-09,1103.0,1098.41,0.42
2014-06-10,1083.92,1103.0,-1.73
2014-06-11,1069.75,1083.92,-1.31
2014-06-12,1089.95,1069.75,1.89
2014-06-13,1089.9,1089.95,-0.0
2014-06-16,1094.0,1089.9,0.38
2014-06-17,1096.0,1094.0,0.18
2014-06-18,1095.0,1096.0,-0.09
2014-06-19,1099.02,1095.0,0.37
2014-06-20,1099.02,1099.02,0.0
2014-06-23,819.9,1099.02,-25.4
2014-06-24,747.95,819.9,-8.78
2014-06-25,777.66,747.95,3.97
2014-06-26,830.0,777.66,6.73
2014-06-27,788.5,830.0,-5.0
2014-06-30,723.06,788.5,-8.3
2014-07-01,649.63,723.06,-10.16
2014-07-02,677.01,649.63,4.21
2014-07-03,663.0,677.01,-2.07
2014-07-07,640.19,663.0,-3.44
2014-07-08,640.0,640.19,-0.03
2014-07-09,632.05,640.0,-1.24
2014-07-10,656.97,632.05,3.94
2014-07-11,710.0,656.97,8.07
2014-07-14,737.12,710.0,3.82
2014-07-15,743.21,737.12,0.83
2014-07-16,727.02,743.21,-2.18
2014-07-17,700.0,727.02,-3.72
2014-07-18,744.0,700.0,6.29
2014-07-21,747.05,744.0,0.41
2014-07-22,688.65,747.05,-7.82
2014-07-23,700.0,688.65,1.65
2014-07-24,716.29,700.0,2.33
2014-07-25,698.55,716.29,-2.48
2014-07-28,675.01,698.55,-3.37
2014-07-29,690.0,675.01,2.22
2014-07-30,699.7,690.0,1.41
2014-07-31,613.02,699.7,-12.39
2014-08-01,580.0,613.02,-5.39
2014-08-04,548.24,580.0,-5.48
2014-08-05,572.98,548.24,4.51
2014-08-06,598.05,572.98,4.38
2014-08-07,598.36,598.05,0.05
2014-08-08,604.99,598.36,1.11
2014-08-11,600.0,604.99,-0.82
2014-08-12,560.01,600.0,-6.67
2014-08-13,540.0,560.01,-3.57
2014-08-14,542.48,540.0,0.46
2014-08-15,571.28,542.48,5.31
2014-08-18,579.88,571.28,1.51
2014-08-19,569.85,579.88,-1.73
2014-08-20,593.5,569.85,4.15
2014-08-21,598.65,593.5,0.87
2014-08-22,620.0,598.65,3.57
2014-08-25,659.0,620.0,6.29
2014-08-26,701.0,659.0,6.37
2014-08-27,705.0,701.0,0.57
2014-08-28,720.15,705.0,2.15
2014-08-29,744.43,720.15,3.37
2014-09-02,763.75,744.43,2.6
2014-09-03,727.25,763.75,-4.78
2014-09-04,729.1,727.25,0.25
2014-09-05,732.99,729.1,0.53
2014-09-08,710.95,732.99,-3.01
2014-09-09,702.1,710.95,-1.24
2014-09-10,701.11,702.1,-0.14
2014-09-11,702.15,701.11,0.15
2014-09-12,695.07,702.15,-1.01
2014-09-15,682.3,695.07,-1.84
2014-09-16,682.32,682.3,0.0
2014-09-17,695.0,682.32,1.86
2014-09-18,703.0,695.0,1.15
2014-09-19,720.65,703.0,2.51
2014-09-22,722.01,720.65,0.19
2014-09-23,710.0,722.01,-1.66
2014-09-24,724.88,710.0,2.1
2014-09-25,697.0,724.88,-3.85
2014-09-26,700.0,697.0,0.43
2014-09-29,706.88,700.0,0.98
2014-09-30,675.01,706.88,-4.51
2014-10-01,676.0,675.01,0.15
2014-10-02,680.25,676.0,0.63
2014-10-03,699.92,680.25,2.89
2014-10-06,694.51,699.92,-0.77
2014-10-07,675.25,694.51,-2.77
2014-10-08,679.82,675.25,0.68
2014-10-09,654.5,679.82,-3.72
2014-10-10,646.06,654.5,-1.29
